movie_id,cast,crew,cast_size
133805,Chlo  Grace Moretz,Kimberly Peirce,19
12244,Christopher Plummer,Shane Acker,10
9452,Warren Beatty,Warren Beatty,40
239566,Chadwick Boseman,Tate Taylor,63
9271,Denzel Washington,Brett Leonard,11
48340,Ioan Gruffudd,Alister Grierson,13
16232,Bernie Mac,Charles Stone III,11
9920,Milla Jovovich,Kurt Wimmer,21
18550,Laurence Fishburne,Kevin Hooks,15
3489,Al Pacino,Jon Avnet,15
37707,Adrien Brody,Vincenzo Natali,8
9042,Cole Hauser,Bruce Hunt,15
17813,Luke Wilson,Rob Reiner,22
11208,Josh Hartnett,Paul McGuigan,12
28902,Annette Bening,Neil Jordan,12
11058,Greg Kinnear,Nick Hamm,8
