id,title,runtime,genre
8271,Disturbia,105.0,Thriller
10428,Hackers,107.0,Action
110415,Snowpiercer,126.0,Action
9495,The Crow,102.0,Fantasy
16320,Serenity,119.0,Science Fiction
12289,Red Cliff,150.0,Adventure
9099,Sgt Bilko,90.0,Comedy
1957,Enough,114.0,Drama
5852,Angel Eyes,102.0,Drama
12508,Rock Star,105.0,Music
25793,Precious,110.0,Drama
1091,The Thing,109.0,Horror
87421,Riddick,119.0,Science Fiction
10871,Switchback,118.0,Action
68722,The Master,137.0,Drama
14325,The Express,130.0,Drama
312221,Creed,133.0,Drama
23168,The Town,125.0,Crime
10488,Nims Island,96.0,Adventure
96721,Rush,123.0,Drama
334,Magnolia,188.0,Drama
23742,Cop Out,107.0,Action
8966,Twilight,122.0,Adventure
8470,John Q,116.0,Drama
11001,Blue Streak,93.0,Action
2163,Breakdown,95.0,Drama
8409,A Man Apart,109.0,Action
222936,Aloha,105.0,Drama
48171,The Rite,114.0,Drama
782,Gattaca,106.0,Thriller
365222,Ip Man 3,105.0,Action
268,Batman,126.0,Fantasy
10054,Spy Kids,88.0,Action
44264,True Grit,110.0,Drama
1598,Cape Fear,128.0,Crime
271718,Trainwreck,125.0,Comedy
11638,Guess Who,105.0,Comedy
11459,Sky High,100.0,Adventure
10806,In  Out,90.0,Comedy
9348,Species,108.0,Science Fiction
8843,The Cell,107.0,Horror
39486,Secretariat,123.0,Drama
1273,TMNT,90.0,Adventure
13920,Radio,109.0,Drama
1883,Malcolm X,202.0,Drama
89492,This Is 40,134.0,Comedy
22949,Old Dogs,88.0,Comedy
609,Poltergeist,114.0,Horror
13051,Max Payne,100.0,Action
49530,In Time,109.0,Action
423,The Pianist,150.0,Drama
2288,Closer,104.0,Drama
88794,J Edgar,137.0,Drama
13515,Mirrors,110.0,Horror
169,Predator 2,108.0,Science Fiction
8090,Untraceable,101.0,Drama
9541,Jersey Girl,102.0,Comedy
94348,Alex Cross,101.0,Action
336004,Heist,93.0,Crime
10410,Hoffa,140.0,Crime
321741,Concussion,123.0,Drama
59965,Abduction,106.0,Thriller
14175,Valiant,76.0,Animation
11004,Wonder Boys,111.0,Comedy
98357,Broken City,109.0,Thriller
10012,Cursed,97.0,Horror
268920,Hot Pursuit,87.0,Action
119283,Parker,118.0,Action
11823,Wimbledon,98.0,Comedy
118957,Bait,93.0,Action
849,Krull,117.0,Fantasy
22787,Whiteout,101.0,Action
37498,Knock Off,91.0,Action
144336,Sabotage,110.0,Action
9616,The Order,102.0,Drama
14113,Zoom,83.0,Family
285783,The Walk,123.0,Adventure
9726,A Good Year,118.0,Comedy
20763,Radio Flyer,114.0,Drama
45958,Biutiful,148.0,Drama
1969,Bandidas,93.0,Action
127493,Stolen,96.0,Action
12429,Ponyo,100.0,Animation
18254,Reds,195.0,Drama
10877,Exit Wounds,101.0,Action
10685,The Watcher,96.0,Mystery
72387,Safe,94.0,Action
12596,Pushing Tin,124.0,Comedy
13460,Doomsday,108.0,Action
8055,The Reader,124.0,Drama
50647,Wanderlust,98.0,Comedy
10719,Elf,97.0,Comedy
9294,Phenomenon,123.0,Drama
11888,Snow Dogs,99.0,Adventure
9647,Scrooged,101.0,Fantasy
9353,Nacho Libre,92.0,Comedy
55721,Bridesmaids,125.0,Comedy
10307,Stigmata,103.0,Horror
22907,Takers,107.0,Action
45612,Source Code,93.0,Thriller
7305,Alive,120.0,Action
31867,Repo Men,111.0,Action
3587,Bogus,110.0,Fantasy
302156,Criminal,113.0,Action
87502,Flight,138.0,Drama
698,Moonraker,126.0,Action
10559,Frequency,118.0,Crime
296099,Vacation,99.0,Comedy
8012,Get Shorty,105.0,Comedy
1574,Chicago,113.0,Action
9032,Big Daddy,93.0,Comedy
862,Toy Story,81.0,Animation
1637,Speed,116.0,Action
72570,The Vow,104.0,Drama
132363,The Butler,132.0,Drama
807,Se7en,127.0,Crime
17654,District 9,112.0,Science Fiction
6557,27 Dresses,111.0,Comedy
82654,Warm Bodies,97.0,Horror
59967,Looper,118.0,Action
9598,Babe,89.0,Fantasy
8780,Baby Mama,99.0,Comedy
9715,Hope Floats,114.0,Drama
10521,Bride Wars,89.0,Comedy
227783,The Nut Job,85.0,Animation
4133,Blow,124.0,Crime
21972,Like Mike,99.0,Comedy
4347,Atonement,123.0,Drama
4105,Black Rain,125.0,Action
9918,Glory Road,118.0,Drama
273481,Sicario,121.0,Action
307081,Southpaw,123.0,Action
41233,Step Up 3D,107.0,Drama
9266,Blue Crush,104.0,Adventure
50456,Hanna,111.0,Action
133805,Carrie,100.0,Drama
9452,Bulworth,108.0,Comedy
239566,Get on Up,139.0,Drama
9271,Virtuosity,106.0,Action
48340,Sanctum,108.0,Action
16232,Mr 3000,104.0,Comedy
9920,Ultraviolet,87.0,Science Fiction
18550,Fled,98.0,Action
3489,88 Minutes,108.0,Crime
37707,Splice,104.0,Horror
9042,The Cave,97.0,Action
17813,Alex  Emma,96.0,Comedy
11208,Wicker Park,114.0,Drama
28902,In Dreams,100.0,Drama
11058,Godsend,102.0,Drama
9989,Antitrust,108.0,Action
9665,Glory,122.0,War
17186,Supercross,80.0,Action
13967,Miss Potter,92.0,Drama
2008,The Promise,98.0,Fantasy
265208,Wild Card,92.0,Thriller
11499,FrostNixon,122.0,Drama
323676,The Boss,91.0,Comedy
12506,Cry Freedom,157.0,Drama
24071,Mumford,112.0,Comedy
9667,The Jacket,103.0,Drama
812,Aladdin,90.0,Animation
562,Die Hard,131.0,Action
15373,Role Models,99.0,Comedy
14292,Miracle,135.0,Drama
2832,Identity,90.0,Mystery
137093,Last Vegas,105.0,Comedy
9778,Serendipity,90.0,Comedy
8831,Timecop,99.0,Thriller
9398,Zoolander,89.0,Comedy
112949,Safe Haven,115.0,Romance
10439,Hocus Pocus,96.0,Comedy
23483,KickAss,117.0,Action
11780,Rob Roy,139.0,Adventure
10383,Lost Souls,97.0,Horror
9746,Kundun,134.0,Drama
59859,KickAss 2,103.0,Action
13495,Alatriste,145.0,Action
700,Octopussy,131.0,Adventure
4964,Knocked Up,129.0,Comedy
5125,Rendition,120.0,Drama
245,About a Boy,101.0,Drama
9825,Lake Placid,82.0,Horror
61891,Anonymous,130.0,Drama
2666,Dark City,100.0,Mystery
12783,The Duchess,110.0,Drama
28355,Case 39,109.0,Horror
31582,Flawless,112.0,Comedy
16617,Mindhunters,106.0,Mystery
2055,Open Range,139.0,Western
1551,Flatliners,115.0,Drama
11460,Red Eye,85.0,Horror
22894,Legion,100.0,Horror
134374,Pain  Gain,130.0,Thriller
11509,Silverado,127.0,Action
7445,Brothers,104.0,Drama
70436,The Raven,111.0,Crime
36355,Flipper,95.0,Adventure
238615,Selfless,116.0,Science Fiction
380,Rain Man,133.0,Drama
13223,Gran Torino,116.0,Drama
10523,W,131.0,Drama
8681,Taken,93.0,Action
50014,The Help,146.0,Drama
7191,Cloverfield,85.0,Action
168530,Ride Along,99.0,Action
392,Chocolat,121.0,Comedy
11969,Tombstone,130.0,Action
794,The Omen,111.0,Horror
75174,The Grey,117.0,Action
769,GoodFellas,145.0,Drama
111,Scarface,170.0,Action
77866,Contraband,109.0,Thriller
9416,Money Talks,97.0,Action
14177,Beauty Shop,105.0,Comedy
227156,The Giver,94.0,Drama
590,The Hours,114.0,Drama
190955,Blood Ties,128.0,Thriller
5123,August Rush,114.0,Drama
4518,Elizabeth,124.0,Drama
6116,Spice World,93.0,Adventure
57431,The Sitter,81.0,Comedy
21724,Dance Flick,83.0,Action
11543,Kingpin,113.0,Comedy
284536,The Gambler,111.0,Thriller
9469,He Got Game,136.0,Drama
22971,Dear John,115.0,Drama
34813,The Losers,97.0,Action
